domain,raw_term,canonical_term,category,evidence_count,source_examples,notes
dedication,S Alkmund,Saint Alkmund,abbreviation_expansion,7,Dove: Duffield; Dove: Whitchurch,S -> Saint
dedication,S Alphege,Saint Alfege,abbreviation_expansion,7,Dove: Canterbury; Dove: Solihull,S -> Saint; Spelling standardized: Alphege -> Alfege
dedication,S Beuno,Saint Beuno,abbreviation_expansion,7,Dove: Berriew; Dove: Bettws Cedewain,S -> Saint
dedication,S Cross,Saint Cross,abbreviation_expansion,7,Dove: Caston; Towers: Appleton Thorn,S -> Saint
dedication,S George M,Saint George M,abbreviation_expansion,7,Dove: Dean Prior; Dove: Southwark,S -> Saint
dedication,S Julian,Saint Julian,abbreviation_expansion,7,Dove: Benniworth; Dove: Wellow,S -> Saint
dedication,S Mary & S Margaret,Saint Mary and Saint Margaret,abbreviation_expansion,7,Dove: Castle Bromwich; Dove: Sprowston,S -> Saint
dedication,S Mary V & All Saints,Saint Mary the Virgin and All Saints,abbreviation_expansion,7,Dove: Boxley; Dove: Langdon Hills,Qualifier expanded: \bS Mary V\b -> Saint Mary the Virgin
dedication,S Maurice,Saint Maurice,abbreviation_expansion,7,Dove: Horkstow; Dove: Plympton St Maurice,S -> Saint
dedication,S Nectan,Saint Nectan,abbreviation_expansion,7,Dove: Ashcombe; Dove: Hartland,S -> Saint
dedication,S Peter Ap,Saint Peter Ap,abbreviation_expansion,7,Dove: Royal Leamington Spa; Dove: St Peter in Thanet,S -> Saint
